CLIENT_EVENT_TIME: Week,Landing Page Views,Payment Conversions,% Purchase Conversion
"Sep 1, 2025 - Sep 7, 2025",67,0,0.0%
"Sep 8, 2025 - Sep 14, 2025",47,0,0.0%
"Sep 15, 2025 - Sep 21, 2025",36,0,0.0%
"Sep 22, 2025 - Sep 28, 2025",78,0,0.0%
"Sep 29, 2025 - Oct 5, 2025",131,0,0.0%
"Oct 6, 2025 - Oct 12, 2025",286,3,1.5%
"Oct 13, 2025 - Oct 19, 2025",250,1,0.6%
"Oct 20, 2025 - Oct 26, 2025",84,0,0.0%
"Oct 27, 2025 - Nov 2, 2025",57,0,0.0%
"Nov 3, 2025 - Nov 9, 2025",43,0,0.0%
"Nov 10, 2025 - Nov 16, 2025",92,0,0.0%
"Nov 17, 2025 - Nov 23, 2025",130,0,0.0%
"Nov 24, 2025 - Nov 30, 2025",218,2,1.5%
"Dec 1, 2025 - Dec 7, 2025",124,0,0.0%
"Dec 8, 2025 - Dec 14, 2025",90,0,0.0%
"Dec 15, 2025 - Dec 21, 2025",242,0,0.0%
"Dec 22, 2025 - Dec 28, 2025",256,0,0.0%
"Dec 29, 2025 - Jan 4, 2026",435,2,0.8%
"Jan 5, 2026 - Jan 11, 2026",380,3,1.1%
"Jan 12, 2026 - Jan 18, 2026",208,0,0.0%
"Jan 19, 2026 - Jan 25, 2026",266,0,0.0%
"Jan 26, 2026 - Feb 1, 2026",475,5,1.7%
"Feb 2, 2026 - Feb 8, 2026",411,3,1.0%
"Feb 9, 2026 - Feb 15, 2026",411,1,0.3%
"Feb 16, 2026 - Feb 22, 2026",317,4,1.9%
